,项目名称,中标金额（元）,中标单位名称,招标人,监督部门,招标代理,时间
259,长沙市轨道交通第二控制中心基坑工程施工项目,39757163.45,湖南黄花建设集团股份有限公司,长沙市轨道交通六号线建设发展有限公司,长沙市建设工程招投标管理中心,/,时间：2019-12-09 15:32:32
260,长沙县第三中学改扩建项目,11521140.67,湖南教建集团有限公司,长沙县第三中学,长沙县发展和改革局,/,时间：2019-12-09 15:32:31
261,道吾山路（李畋路-水佳路）、水佳路（锦程大道-道吾山路）建设项目,49465387.92,湖南东方红建设集团有限公司,浏阳市水利建设投资有限公司,浏阳市发展和改革局,/,时间：2019-12-09 15:32:22
262,蔡锷中路两厢棚改项目（有机更新部分）（设计施工）总承包 第一标段,270000,长沙春华建筑有限公司(牵头人),长沙市芙蓉棚改投资有限责任公司,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2019-12-09 15:25:15
263,浏阳市新屋岭小学土石方工程,3240812.51,湖南曲塘建筑工程有限公司,浏阳市公共工程建设中心,浏阳市发展和改革局,/,时间：2019-12-09 15:25:12
264,蔡锷中路两厢棚改项目（有机更新部分）（设计施工）总承包 第二标段,255000,湖南黄花建设集团股份有限公司（牵头人）,长沙市芙蓉棚改投资有限责任公司,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2019-12-09 15:25:09
265,浏阳市新屋岭小学土石方工程中标候选人重新公示,3251221.63,中潇建工集团有限公司,浏阳市公共工程建设中心,浏阳市发展和改革局,/,时间：2019-12-09 15:24:17
266,步行廊桥（中轴公园-黎托公园）建设工程,94503119.69,湖南省第六工程有限公司,长沙城投国际会展中心投资开发有限责任公司,长沙市建设工程招投标中心,/,时间：2019-12-09 15:24:16
267,长房●明宸府项目一期设计采购施工总承包（EPC）,340516299.2,湖南红星建设有限公司/长沙市建筑设计院有限责任公司,长沙长房明宸置业有限公司,长沙市雨花区住房和城乡建设局,/,时间：2019-12-09 15:22:11
268,汇景发展环球中心高压新装线路及供配电工程（第二次）,18802781.32,湖南华信安装工程有限公司,湖南发展高新置业有限公司,长沙市建设工程招投标管理办公室,/,时间：2019-12-09 15:22:09
269,雅塘冲路（韶山路-圭塘路）工程10KV电力埋管工程一标段,5427235.42,兴能电力建设有限,长沙市公共工程建设中心,长沙市建设工程招投标管理办公室,/,时间：2019-12-09 15:14:09
270,金鹰路（滨河路-金马路）10KV电力埋管工程项目,3877187.63,根据招标投标相关法律法规及招标文件的规定，金鹰路（滨河路-金马路）10KV电力埋管工程项目已于2019年8月30日在长沙公共资源交易中心完成了开标、评标工作，本项目评标办法采用《长沙市房屋建筑和市政工程施工招标评标活动管理规定》（长住建发[2019]41号）中规定的“综合评估法（Ⅰ）”，其中投标报价评审采用“附表6（2）”。评标委员会按照招标文件确定的评标原则和办法，推荐了评标得分前3名的中标候选人（不排序），根据最低报价定标法确定了中标候选人（排序），现将相关信息予以公示。,长沙市水利建设投资管理有限公司联系电话：0731-84204782,长沙市建设工程招投标管理办公室,/,时间：2019-12-09 15:07:10
271,湖南省生态环境厅办公用房维修改造工程,3990840.11,承运建工集团有限公司,湖南省机关事务管理局,长沙市建设工程招标投标中心,/,时间：2019-12-04 16:44:09
272,宁乡市职业中专产教融合培训实训大楼主体装修及附属工程,3268345.78,长沙玉潭建筑安装有限公司,宁乡市国资投资控股集团有限公司,宁乡市建设工程招投标事务中心,/,时间：2019-12-04 15:20:11
273,浏阳市胡家路（禧和路-道吾山路）道路工程项目,26808984.28,湖南金辉建设集团有限公司,浏阳市城市建设集团有限公司,浏阳市发展和改革局,/,时间：2019-12-04 14:37:09
274,梅浦联络线（梅溪湖路西延线-学湖路）工程,50716630.9,湖南省第六工程有限公司,湖南湘江新区投资集团有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-12-04 14:17:09
275,洋湖生态新城中水回用示范项目中水管网闭环及末端配套设施工程（一期）施工,4380066.4,湖南省长沙湘华建筑工程有限公司,湖南先导洋湖再生水有限公司,湘江新区管理委员会住建环保局。,/,时间：2019-12-04 13:44:09
276,宁乡市资福集镇基础设施建设项目设计施工总承包,7641677.13,湖南华程建设工程有限公司/广东建筑艺术设计院有限公司,宁乡市资福镇人民政府,宁乡市建设工程招投标事务中心,/,时间：2019-12-04 11:58:09
277,自动泊车示范项目,5825204.4,湖南今朝纵横通信工程有限公司,湖南湘江智能科技创新中心有限公司,湖南湘江新区管委会住建环保局,/,时间：2019-12-03 16:59:09
278,宁乡高新区金洲220KV变电站配套110kV电缆隧道工程设计施工总承包,30005969.6,长沙玉潭建筑安装有限公司（联合体牵头人）/四川宏图都市建筑设计有限公司（联合体成员）,长沙金洲新城开发建设投资有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2019-12-03 15:12:09
279,浏阳市镇头镇田坪片区棚改配套基础设施（三期）建设项目,2776689.71,湖南省伍川建设工程有限公司,浏阳市镇头镇人民政府,浏阳市发展和改革局,/,时间：2019-12-03 08:44:09
280,锦源路（圭塘路-圭塘河）道路工程施工,19101927.16,湖南天禹建设有限公司,长沙市雨花区公共工程建设中心,长沙市雨花区住房和城乡建设局,/,时间：2019-12-03 08:41:13
281,浏阳市菊花石路（南泥湾路-石霜路）建设项目,35611301.33,长沙市市政工程有限责任公司,浏阳市城市建设集团有限公司,浏阳市发展和改革局,/,时间：2019-12-03 08:37:09
282,长沙县第二中学改扩建项目,20000835.95,湖南望新建设集团股份有限公司,长沙县第二中学,长沙县发展和改革局,/,时间：2019-11-29 16:01:13
283,光达加油站项目,6028246.38,湖南湘信建设工程有限公司,长沙城投能源开发有限公司,长沙市建设工程招投标管理中心,/,时间：2019-11-29 16:01:09
284,长沙市金陵墓园南一区墓道挡墙和九龙园北侧边坡处险工程,9566956.63,湖南志鹏建设集团有限公司,长沙市殡葬事业管理处,长沙市建设工程招标投标中心,/,时间：2019-11-29 16:00:14
285,东科路（长川路-科三路）项目,公示期2019年11月29日至2019年12月4日。,湖南湘信建设工程有限公司,长沙麓谷建设发展有限公司,长沙高新区招投标管理办公室,/,时间：2019-11-29 16:00:11
286,长房?云时代C区设计采购施工总承包(EPC)项目,338369934.4,五矿二十三冶建设集团有限公司（牵头人）,长沙长房恒伟房地产开发有限公司,长沙高新区招投标管理办公室,/,时间：2019-11-29 15:59:24
287,湖南省粮食局维修改造工程（复评）,4007674.71,湖南湘信建设工程有限公司,湖南省机关事务管理局,长沙市建设工程招投标管理办公室,/,时间：2019-11-29 15:54:12
288,长沙市望城区月亮岛全民健身中心项目施工,公示期2019年11月27日至2019年12月2日。,湖南御艺园林建设工程有限公司,长沙先导文化旅游投资有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-11-28 14:37:58
289,金融大厦项目东西连廊区域精装工程施工,4394235.96,湖南新宇装饰设计工程有限公司,长沙恒诚业房地产开发有限公司,湘江新区管理委员会住建环保局,/,时间：2019-11-28 14:36:59
290,郭亮南路一期（金星大道-普瑞大道）道路工程二标段（金星大道-赤岗路）,50773154.53,湖南洪山建设集团有限公司,望城经开区建设开发公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-11-28 14:36:22
291,高铁新城片区中轴北路（滨河路-金桂路）建设工程施工,公示期2019年11月26日至2019年11月29日。,湖南望新建设集,长沙城投国际会展中心投资开发有限责任公司,长沙市建设工程招投标中心,/,时间：2019-11-27 11:33:58
292,马栏山视频文创产业园区域能源项目（一期）北区能源站设计-采购-施工（EPC）总承包,74258646.21,中建五局第三建设有限公司/中机国际工程设计研究院有限责任公司,长沙城投能源开发有限公司,长沙市建设工程招标投标中心,/,时间：2019-11-27 11:33:14
293,芙蓉大道快速化改造项目（长沙段）工程质量检测比对标（30%频率检测）,1583251.82,湖南省勘测设计院,长沙市公共工程建设中心（原长沙市工务局）,长沙市建设工程招投标中心,/,时间：2019-11-27 09:59:01
294,芙蓉大道快速化改造项目（长沙段）工程质量检测主检标（70%频率检测）,3577931,湖南省建设工程质量检测中心,长沙市公共工程建设中心（原长沙市工务局）,长沙市建设工程招投标中心,/,时间：2019-11-27 09:27:06
295,银星路（黄桥大道-雷锋大道）道路工程连接线项目第三方检测、监测,4275751.5,湖南联智桥隧技术有限公司,望城经开区建设开发公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-11-25 16:16:59
296,黄桥大道辅道（普瑞路-高乌路）工程（腾飞路-航空西路）,22944905.86,承运建工集团有限公司,望城经开区建设开发公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-11-25 16:16:02
297,湖南省人社厅办公用房维修改造装修工程,3572811.08,湖南恒楚建设有限公司,湖南省机关事务管理局,长沙市建设工程招标投标中心,/,时间：2019-11-25 16:16:01
298,金融大数据安全与应用研究中心建设工程多媒体与智能化系统设备采购及安装项目,5098000,湖南力唯中天科技发展有限公司,长沙市滨江新城建设开发有限责任公司,湖南湘江新区管委会住建环保局,/,时间：2019-11-25 16:13:59
299,清水路（锦绣路-万家丽路）道路工程,13683234.42,湖南大胜集团有限公司,长沙县重点建设项目事务中心,长沙县发展和改革局,/,时间：2019-11-25 16:12:01
300,长沙市开福污水处理厂三期提标扩建工程设计施工总承包,554208597.5,牵头人：湖南园艺建筑集团有限公司,湖南鑫远环境科技有限公司,长沙市建设工程招标投标中心,/,时间：2019-11-25 16:11:58
301,宁乡市资福集镇学校基础设施配套建设项目中标结果更正公示,/,项目名称：宁乡市资福集镇学校基础设施配套建设项目,宁乡市资福镇人民政府,宁乡市建设工程招投标事务中心,/,时间：2019-11-22 14:43:36
302,高排水改造工程（北津城路及北津城公园）项目施工,69967416.61,湖南园艺建筑集团有限公司,长沙滨江新城建设开发有限责任公司,湖南湘江新区管委会住建环保局,/,时间：2019-11-22 14:42:36
303,小西门泵站末端调蓄设施及停车场共建项目设计采购施工总承包（EPC）,111472862.3,湖南省西湖建筑集团有限公司/长沙市规划设计院有限责任公司,长沙市公共工程建设中心,长沙市建设工程招标投标中心,/,时间：2019-11-21 15:43:34
304,长沙经开区湖南第一师范学院星沙实验小学建设项目,91556354.93,湖南省沙坪建设有限公司,长沙经济技术开发区项目开发建设管理有限公司,长沙经济技术开发区政府采购与招投标办公室,/,时间：2019-11-21 15:28:34
305,2019年农村客运招呼站（候车亭）建设工程施工,14705253.32,承运建工集团有限公司,长沙市望城区交通建设投资有限公司,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-11-21 15:25:34
306,捞刀河水塘垸哑河段截污治污工程EPC总承包（复评）,12396000,湖南三友环保科技有限公司(联合体牵头人)、南京市市政设计研究院有限责任公司（联合体成员）,长沙县安沙镇人民政府,长沙县发展和改革局,/,时间：2019-11-21 14:56:34
307,南泥湾路（临花炮大道地块侧）道路工程,4904223.52,湖南港兴建设工程有限公司,浏阳市城市建设集团有限公司,浏阳市发展和改革局,/,时间：2019-11-20 18:17:52
308,长沙县人民法院路口法庭建设工程项目,公示期：2019年11月19日至2019年11月22日。,湖南望新建设集团股份有限公司,长沙县人民法院,长沙县发展和改革局,/,时间：2019-11-20 18:15:56
309,五矿?万境蓝山梧桐苑四期65#-68#栋及地下室工程施工,公示期2019年11月19日至2019年11月22日。,五矿二十三冶建设集团有限公司,湖南东润房地产开发有限责任公司,长沙市雨花区住房和城乡建设局,/,时间：2019-11-20 18:15:55
310,华融湘江银行营业用房电梯设备采购及安装项目（第二标段）,13358000,湖南广辰机电科技有限公司,华融湘江银行股份有限公司, 长沙市建设工程招投标中心,/,时间：2019-11-20 18:15:52
311,文创路（三一大道-东二环桥辅道）10KV电力埋管工程项目,39383143000,湖南省京湘电力开发有限公司,长沙市水利建设投资管理有限公司, 长沙市建设工程招标投标中心,/,时间：2019-11-20 18:12:58
312,先锋路（新韶山路-洞和路）提质改造工程,12403630.33,湖南天茂景观建设工程有限公司,长沙市雨花区公共工程建设中心,长沙市雨花区住房和城乡建设局,/,时间：2019-11-20 18:08:55
313,华融湘江银行营业用房电梯设备采购及安装项目（第一标段）,28668000,湖南广辰机电科技有限公司,华融湘江银行股份有限公司, 长沙市建设工程招投标中心,/,时间：2019-11-20 17:58:01
314,长沙市坪塘污水处理厂（一期）提标改造工程预处理、紫外消毒、除臭设备及技术服务采购,4022412,琥珀环保技术（中国）有限公司,湖南先导洋湖再生水有限公司,湖南湘江新区管委会住建环保局,/,时间：2019-11-20 17:52:52
315,新源社区金竹河源头、民居、道路两厢环境综合提质改造项目,8780637.98,湖南天禹建设园林有限公司,长沙市开福区青竹湖街道办事处,长沙市开福区招标投标管理办公室,/,时间：2019-11-20 17:51:54
316,金融大厦东区高压配电工程施工,28448906.21,西格码电气股份有限公司,长沙恒诚业房地产开发有限公司,湘江新区管理委员会住建环保局,/,时间：2019-11-18 16:19:18
317,雨花区2019年化粪池改造工程三标段,2325723.94,中浏建设有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-11-15 14:20:50
318,雨花区2019年化粪池改造工程二标段,2381836.37,湖南铭顺景观建设有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-11-15 14:15:55
319,捞刀河水塘垸哑河段截污治污工程EPC总承包,11609081.15,湖南源源生态工程集团有限公司(联合体牵头人),长沙县安沙镇人民政府,长沙县发展和改革局,/,时间：2019-11-15 13:58:48
320,雨花区2019年化粪池改造工程一标段,2294700.65,湖南圭塘建设有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-11-15 13:55:49
321,浏阳市小河乡田心片区棚改配套基础设施（三期）建设项目（复评）,3906894.14,湖南明艺建设发展有限公司,浏阳市小河乡人民政府,浏阳市发展和改革局,/,时间：2019-11-15 13:36:48
322,长沙市雅礼芙蓉中学新建项目代建,3684600,湖南格瑞工程建设集团有限公司,长沙市雅礼芙蓉中学,/,/,时间：2019-11-15 13:30:50
323,宁乡高新区创新创业示范基地六期工程设计施工总承包,116362914,中铁城建集团有限公司（联合体牵头人）/广东建筑艺术设计院有限公司（联合体成员）,长沙金洲新城开发建设投资有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2019-11-15 13:26:53
324,江山帝景普罗旺斯和雅典幼儿园主体及地下室建设工程施工第一标段,15761.76536 ? 万,湖南北山建设集团股份有限公司,湖南楚盛园置业发展有限公司,湘江新区管理委员会住建环保局,/,时间：2019-11-15 13:14:32
325,莲湖路雨污水管道改造工程,8416186.63,湖南省湘诚建设集团有限公司,长沙市望城区市政设施维护中心,长沙市望城区建设工程招投标工作事务中心,/,时间：2019-11-15 13:12:25
326,金茂建发?铂悦项目工程总承包（EPC）,517868827.2,中国建筑第二工程局有限公司/中机国际工程设计研究院有限责任公司,长沙源茂置业有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-11-15 13:12:21
327,浏阳市官渡大道二期（南岳街-溪河路）工程,17514374.24,湖南华程建设工程有限公司,浏阳市官渡镇人民政府,浏阳市发展和改革局,/,时间：2019-11-15 12:41:48
328,“天天向上”新生产经营场地装饰装修项目设计施工总承包,11960186.99,湖南高岭建设集团股份有限公司/湖南新宇装饰设计工程有限公司,湖南第一工业设计研究院有限公司,长沙市天心区住房和城乡建设局,/,时间：2019-11-15 12:30:49
329,长沙铜官港水运物流园一期项目一标段,80708162.75,湖南顺天建设集团有限公司,湖南港航物流投资有限公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-11-15 12:30:01
330,雨花区2019年化粪池改造工程四标段,2459026.86,湖南曲塘建筑工程有限公司,长沙市雨花区市政设施维护中心,长沙市雨花区住房和城乡建设局,/,时间：2019-11-15 12:26:26
331,尖山印象公租房建设项目中央空调工程,12188998.35,湖南湘信建设工程有限公司,长沙麓谷建设发展有限公司,长沙高新区招投标管理办公室,/,时间：2019-11-15 12:11:49
332,江山帝景普罗旺斯和雅典幼儿园主体及地下室建设工程施工第二标段,27694.679543万,广东中人集团建设有限公司,湖南楚盛园置业发展有限公司,湘江新区管理委员会住建环保局,/,时间：2019-11-15 12:03:51
333,湘府世纪二期幼儿园装饰装修项目施工,6398813.68,承运建工集团有限公司,长沙市天心区教育局,长沙市天心区住房和城乡建设局,/,时间：2019-11-15 12:01:48
334,长沙蓝月谷智能制造产业园(A区)及旺宁新村三期（30-33#栋）项目设计采购施工（EPC）总承包,1047038175,牵头人：中建五局第三建设有限公司,长沙顺泰投资管理有限公司,宁乡经济技术开发区政府采购与招投标办公室,/,时间：2019-11-12 15:57:52
335,长房?东旭国际一期B区1#~7#栋入户门及铝合金门窗供货及安装工程,26067583.27,湖南固尔邦幕墙装饰股份有限公司,长沙市富湘建筑工程有限公司,长沙市建设工程招标投标中心,/,时间：2019-11-12 14:54:48
336,宁乡高新区锂电产业园一期建设项目设计施工总承包,35087000.07,湖南兴旺建设有限公司（联合体牵头人）/湖南省轻纺设计院有限公司（联合体成员）,长沙金洲新城开发建设投资有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2019-11-12 13:53:49
337,宁乡高新区锂电产业园一期建设项目设计施工总承包,35087000.07,湖南兴旺建设有限公司（联合体牵头人）/湖南省轻纺设计院有限公司（联合体成员）,长沙金洲新城开发建设投资有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2019-11-12 13:53:48
338,芙蓉区马王堆220KV电缆隧道工程项目,9035579.1,兴能电力建设有限公司,长沙市芙蓉城市建设投资有限责任公司,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2019-11-11 16:48:53
339,连塘路（罗谷塘路至连山路）项目施工,36064174.79,湖南兴旺建设有限公司,长沙先导城市建设投资有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-11-11 15:27:01
340,珠江好世界商业项目B1-B5#栋及地下室,"￥740,240,030.12",广州市住宅建设发展有限公司,湖南珠江实业投资有限公司,长沙市建设工程招投标中心,/,时间：2019-11-11 14:54:26
341,大华路（蟠龙路-星沙联络线）道路工程施工,10781834.86,湖南省长沙湘华建筑工程有限公司,长沙县重点建设项目事务中心,长沙县发展和改革局,/,时间：2019-11-06 16:44:04
342,长沙未来城城市综合体B区一期项目A16、A17地块南区设计采购施工总承包（EPC）,295979692.3,河北建设集团股份有限公司（联合体牵头人）,长沙环球世纪发展有限公司,长沙市建设工程招标投标管理办公室,/,时间：2019-11-06 16:44:03
343,长沙未来城城市综合体B区一期项目A16、A17地块北区设计采购施工总承包（EPC）,574337828.5,湖南中翔建设集团有限公司（联合体牵头人）,长沙环球世纪发展有限公司,长沙市建设工程招标投标管理办公室,/,时间：2019-11-06 16:44:02
344,湖南省高分卫星气象应用中心信息网络场地环境改造建设项目,3815729.8,湖南警安工程有限公司,湖南省气象信息中心,长沙市天心区城乡建设局,/,时间：2019-11-06 16:40:06
345,马湾路（中青路-桔林路）建设工程,12923712.14,湖南雄新建筑有限公司,湖南金霞发展集团有限公司,长沙市开福区招投标管理办公室,/,时间：2019-11-06 09:35:37
346,长沙市轨道交通4号线一期工程粟塘站3号出入口连接通道施工项目,16867331.35,中铁十四局集团有限公司,长沙市轨道交通四号线建设发展有限公司,长沙市建设工程招投标管理中心,/,时间：2019-11-06 09:35:31
347,欢乐海洋项目检测工程,2561390.58,湖南省建设工程质量检测中心, 长沙欢乐海洋公园有限公司,湖南湘江新区管理委员会住建环保局,/,时间：2019-11-06 09:35:25
348,中海凯旋城幼儿园装饰装修项目施工,6022686.35,承运建工集团有限公司,长沙市天心区教育局,长沙市天心区住房和城乡建设局,/,时间：2019-11-06 09:35:24
349,宁乡市资福集镇学校基础设施配套建设项目,5737473.57,湖南源亿建设工程有限公司,宁乡市资福镇人民政府,/,/,时间：2019-11-06 09:25:05
350,长沙市开福区交通指挥综合业务楼室内装饰装修工程施工,公示期2019年11月01日至2019年 11月06日。,湖南湘信建设工程有限公司,长沙开福城市建设投资有限公司,长沙市开福区招投标管理办公室,/,时间：2019-11-01 13:50:51
351,宁乡高新区欧洲南路（金洲大道-金桥路）完善工程,10405405.16,湖南省西湖建筑集团有限公司,长沙金洲新城开发建设投资有限公司,宁乡高新技术产业园区政府采购与招投标管理办公室,/,时间：2019-11-01 12:00:51
352,太平路片区棚改项目改造工程-西长街东厢房屋修缮设计施工总承包,36899456.81,牵头人：湖南天茂景观建设工程有限公司 ?成员方：华诚博远工程技术集团有限公司,长沙市开福棚改投资有限责任公司,长沙市开福区招投标管理办公室,/,时间：2019-10-31 11:00:06
353,长沙大王山旅游基础设施项目施工-采购总承包项目,（元）,比亚迪建设工程有限公司/比亚迪通信信号有限公司,湖南湘江新区投资集团有限公司,湘江新区管理委员会住建环保局,/,时间：2019-10-31 11:00:05
354,雨花区2019年老旧社区环境综合提质改造工程第四标段,4365906.12,湖南岳麓山建设集团有限公司,长沙市雨花区城市管理和综合执法局,长沙市雨花区住房和城乡建设局,/,时间：2019-10-30 20:35:17
355,雨花区2019年老旧社区环境综合提质改造工程第三标段,4144026.43,湖南红星建设有限公司,长沙市雨花区城市管理和综合执法局,长沙市雨花区住房和城乡建设局,/,时间：2019-10-30 20:35:15
356,望麓园巷及两厢棚户区改造项目房屋修复修缮及配套设施改造工程设计施工总承包,25114314.75,湖南天茂景观建设工程有限公司/长沙泰源建筑设计有限公司,长沙市开福棚改投资有限责任公司,长沙市开福区招标投标管理办公室,/,时间：2019-10-30 20:35:13
357,雨花区2019年老旧社区环境综合提质改造工程第二标段,4278147.75,湖南擎天建设工程有限公司,长沙市雨花区城市管理和综合执法局,长沙市雨花区住房和城乡建设局,/,时间：2019-10-30 20:35:10
358,雨花区2019年老旧社区环境综合提质改造工程第五标段,2761860.11,湖南正道建筑工程有限公司,长沙市雨花区城市管理和综合执法局,长沙市雨花区住房和城乡建设局,/,时间：2019-10-30 20:35:10
359,雨花区2019年老旧社区环境综合提质改造工程第一标段,4269530.13,湖南长大建设集团股份有限公司,长沙市雨花区城市管理和综合执法局,长沙市雨花区住房和城乡建设局,/,时间：2019-10-30 20:35:05
360,长沙市开福区青环路南段（兴联路-二环线）道路工程设计施工总承包,132933517.8,湖南顺天建设集团有限公司/长沙市市政工程有限责任公司,长沙金霞经济开发区开发建设总公司,长沙市开福区招投标管理办公室,/,时间：2019-10-30 11:47:14
361,长沙市上湾西路（滨河路-金桂路）建设工程施工,39140675.21,湖南金辉建设集团有限公司,长沙城投国际会展中心投资开发有限责任公司,长沙市建设工程招标投标中心,/,时间：2019-10-30 11:47:05
362,长沙市轨道交通5号线一期工程智能化系统检测项目,885600,湖南中大检测技术集团有限公司,长沙市轨道交通五号线建设发展有限公司,长沙市建设工程招标投标管理中心,/,时间：2019-10-30 11:45:07
363,湖南省粮食局维修改造工程,3901672.53,湖南立德建设工程有限公司,湖南省机关事务管理局,长沙市建设工程招投标管理办公室,/,时间：2019-10-29 14:00:13
364,洋湖人才公寓项目营销中心施工总承包,10564903.59,湖南联众建设工程有限公司,长沙恒志房地产开发有限公司,湘江新区管理委员会住建环保局。,/,时间：2019-10-29 14:00:11
365,湖南省发展和改革委员会办公楼维修改造工程,3345331.26,湖南华程建设工程有限公司,湖南省机关事务管理局,长沙市建设工程招投标管理办公室,/,时间：2019-10-29 14:00:08
366,白杨路（花果路-城湘大道）绿化及照明工程(二标段),5758770.08,湖南天禹设备安装有限公司,长沙市望城区望联建设开发有限公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-29 09:12:18
367,湖南省社会主义学院教学楼等维修改造项目第二标段,1912595.59,湖南兆鑫建设有限公司,湖南省社会主义学院,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2019-10-29 09:12:17
368,长沙县新型农村集体经济产业指导服务中心（长沙县有机农业文创园）工程,4173544.07,根据招标投标相关法律法规及招标文件的规定，长沙县新型农村集体经济产业指导服务中心（长沙县有机农业文创园）工程评标工作已于2019年10月25日在长沙公共资源交易中心完成，本项目采用《长沙市房屋建筑和市政工程施工招标评标活动管理规定》（长住建发[2019]41号）中规定的“综合评估法（Ⅰ）”办法，其中投标报价评审采用“附表6（2）”，评标委员会推荐了以下3名中标候选人（不排序），根据低报价定标法确定中标候选人（排序），现将相关信息公示如下。,长沙县现代农业创新示范区管委会,长沙县发展和改革局,/,时间：2019-10-29 09:12:15
369,湖南省社会主义学院教学楼等维修改造项目第一标段,16446172.25,湖南沙坪装饰有限公司,湖南省社会主义学院,长沙市芙蓉区建设工程招投标管理办公室,/,时间：2019-10-29 09:12:10
370,通泰街街道社区卫生服务中心内部装修工程,7020601.23,承运建工集团有限公司,长沙市开福区通泰街街道社区卫生服务中心,长沙市开福区招标投标管理办公室,/,时间：2019-10-29 09:12:07
371,白杨路（花果路-城湘大道）绿化及照明工程(一标段),6401546.42,湖南汇智园林景观建设有限公司,长沙市望城区望联建设开发有限公司,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-29 09:12:05
372,燕子岭及熙台岭社区老旧公房翻建、维修项目设计施工总承包,9293922.89,长沙辉煌建筑装饰工程有限公司/长沙凤凰建筑设计有限公司,长沙恒隆资产经营有限公司,/,/,时间：2019-10-29 09:11:06
373,中南大学铁道校区1-7栋留学生宿舍改造项目（房屋修缮）二期工程,8079734.79,湖南奉天建设集团有限公司,中南大学, 长沙市天心区城乡建设局,/,时间：2019-10-29 09:11:05
374,赤新市场提质改造项目施工,4344570.17,湖南天禹建设园林有限公司,长沙市雨花区商务局,长沙市雨花区城乡建设局,/,时间：2019-10-25 10:47:37
375,东方红小学配套道路提质改造工程,9504804.88,湖南天茂景观建设工程有限公司,长沙市雨花区公共工程建设中心,长沙市雨花区城乡建设局,/,时间：2019-10-25 10:47:35
376,宁乡经开区中伟配套雨污排水工程,6391883.49,湖南洪山建设集团有限公司,宁乡经济技术开发区建设投资有限公司,宁乡经济技术开发区政府采购与招投标办公室,/,时间：2019-10-25 10:47:32
377,长沙市望城区委党校改扩建（雷锋学院）项目施工三标段,20761199.18,湖南省湘诚建设集团有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-24 15:08:04
378,长沙市望城区委党校改扩建（雷锋学院）项目施工三标段,20761199.18,湖南省湘诚建设集团有限公司,长沙市望城区重点建设项目事务中心,长沙市望城区建设工程招标投标管理办公室,/,时间：2019-10-24 15:08:04
379,岳麓区环卫设施设备“三改”项目设计施工总承包（第二次）,10507100,湖南交安建设集团有限公司、广州博厦建筑设计研究院有限公司,长沙市岳麓区市容环境卫生维护中心,长沙市岳麓区建设工程招投标管理办公室,/,时间：2019-10-24 14:59:38
380,岳麓区环卫设施设备“三改”项目设计施工总承包（第二次）,10507100,湖南交安建设集团有限公司、广州博厦建筑设计研究院有限公司,长沙市岳麓区市容环境卫生维护中心,长沙市岳麓区建设工程招投标管理办公室,/,时间：2019-10-24 14:59:38
381,北二环南侧沅丰坝片区污水干管工程项目施工第二标段,4892586.87,湖南森华园林建设有限公司,长沙市开福区公共工程建设中心,长沙市开福区招投标管理办公室,/,时间：2019-10-23 14:23:24
382,2019年天心区园林景观“微改造”项目,5018917.28,湖南世纪园林建设有限公司,长沙市天心区园林绿化维护中心,长沙市天心区住房和城乡建设局,/,时间：2019-10-23 14:23:20
383,北二环南侧沅丰坝片区污水干管工程项目施工第五标段,5637531.06,浩天建工集团有限公司,长沙市开福区公共工程建设中心,长沙市开福区招投标管理办公室,/,时间：2019-10-23 14:09:22
384,北二环南侧沅丰坝片区污水干管工程项目施工第六标段,4771407.51,承运建工集团有限公司,长沙市开福区公共工程建设中心,长沙市开福区招投标管理办公室,/,时间：2019-10-23 14:05:22
385,北二环南侧沅丰坝片区污水干管工程项目施工第四标段,4880059.51,湖南省金凯园林集团有限公司,长沙市开福区公共工程建设中心,长沙市开福区招投标管理办公室,/,时间：2019-10-23 14:05:21
386,北二环南侧沅丰坝片区污水干管工程项目施工第三标段,5239500.45,湖南青竹湖城乡建设有限公司,长沙市开福区公共工程建设中心,长沙市开福区招投标管理办公室,/,时间：2019-10-23 14:00:23
